experiment,subject,uniqueID,block,trial,trial_cumulative,age,gender,color_cond_blocking,color_history,shape_type,set_size,distractor,rt,acc,target_orient,response_key,response_made,iti,target_color,target_item,distractor_item,target_X,target_Y,distractor_X,distractor_Y,item1_X,item1_Y,item2_X,item2_Y,item3_X,item3_Y,item4_X,item4_Y,item5_X,item5_Y,item6_X,item6_Y,item1_shape,item2_shape,item3_shape,item4_shape,item5_shape,item6_shape,item1_line,item2_line,item3_line,item4_line,item5_line,item6_line
1c,7,100132,1,1,1,18,M,NA,variable,homogeneous,5,present,1.27425694465637,0,vertical,horizontal,1,1.02351965904236,red,5,1,636.089159529932,795.341332995339,935.129412379467,816.252264519889,935.129412379467,816.252264519889,1047.42541020038,538.309916622085,817.787900804752,345.621167183745,563.568117085469,504.475318678942,636.089159529932,795.341332995339,0,0,0,0,0,0,4,NaN,horizontal,horizontal,horizontal,horizontal,vertical,none
1c,7,100132,1,2,2,18,M,NA,variable,homogeneous,6,present,1.25812196731567,1,vertical,vertical,1,0.941168614228566,green,3,4,1029.19248180629,488.215357568785,817.787900804752,345.621167183745,782.212099195248,854.378832816255,1011.40458100154,742.594190385041,1029.19248180629,488.215357568785,817.787900804752,345.621167183745,588.595418998464,457.40580961496,570.807518193712,711.784642431215,0,0,4,0,0,0,horizontal,vertical,vertical,vertical,horizontal,horizontal
1c,7,100132,1,3,3,18,M,NA,variable,homogeneous,6,absent,1.45632910728455,1,horizontal,horizontal,1,0.835288699467977,green,5,NaN,567.045908301137,496.282156015671,NaN,NaN,826.654758133252,853.60308331891,1032.95409169886,703.717843984329,1006.29933356561,450.114760665419,773.345241866748,346.39691668109,567.045908301137,496.282156015671,593.700666434388,749.885239334581,0,0,0,0,4,0,horizontal,vertical,horizontal,vertical,horizontal,horizontal
1c,7,100132,1,4,4,18,M,NA,variable,homogeneous,5,present,0.953776121139526,1,vertical,vertical,1,0.611764434973399,green,1,3,668.665290897936,818.577661679039,1034.72873763037,500.363562235235,668.665290897936,818.577661679039,967.295052392579,792.450942956807,1034.72873763037,500.363562235235,777.775285599347,345.970351986605,551.535633479765,542.637481142314,0,0,4,0,0,0,0,NaN,vertical,horizontal,horizontal,horizontal,vertical,none
1c,7,100132,1,5,5,18,M,NA,variable,homogeneous,3,absent,0.859468936920166,1,horizontal,horizontal,1,0.729408784707387,red,1,NaN,953.462830903772,803.65205506206,NaN,NaN,953.462830903772,803.65205506206,899.636437764765,365.271262369628,546.900731331463,631.076682568313,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,vertical,none,none,none
1c,7,100132,1,6,6,18,M,NA,variable,homogeneous,3,absent,0.697792768478394,1,horizontal,horizontal,1,0.635293304920197,green,1,NaN,953.462830903772,803.65205506206,NaN,NaN,953.462830903772,803.65205506206,899.636437764765,365.271262369628,546.900731331463,631.076682568313,0,0,0,0,0,0,4,0,0,NaN,NaN,NaN,horizontal,horizontal,horizontal,none,none,none
1c,7,100132,1,7,7,18,M,NA,variable,homogeneous,6,present,0.864476203918457,1,vertical,vertical,1,0.823524264494578,green,6,5,632.704947607421,792.450942956807,549.685068220846,551.343706178981,883.019879386575,841.107236777826,1050.31493177915,648.656293821019,967.295052392579,407.549057043193,716.980120613425,358.892763222174,549.685068220846,551.343706178981,632.704947607421,792.450942956807,0,0,0,0,0,4,horizontal,horizontal,horizontal,horizontal,horizontal,vertical
1c,7,100132,1,8,8,18,M,NA,variable,homogeneous,5,present,0.6488938331604,1,horizontal,horizontal,1,0.752937654654185,red,1,3,935.129412379467,816.252264519889,817.787900804752,345.621167183745,935.129412379467,816.252264519889,1047.42541020038,538.309916622085,817.787900804752,345.621167183745,563.568117085469,504.475318678942,636.089159529932,795.341332995339,0,0,4,0,0,0,0,NaN,horizontal,horizontal,horizontal,horizontal,horizontal,none
1c,7,100132,1,9,9,18,M,NA,variable,homogeneous,4,present,0.870136022567749,1,vertical,vertical,1,0.79999539454778,red,1,2,949.885239334581,806.299333565612,1006.29933356561,450.114760665419,949.885239334581,806.299333565612,1006.29933356561,450.114760665419,650.114760665419,393.700666434388,593.700666434388,749.885239334581,0,0,0,0,4,0,0,0,NaN,NaN,vertical,horizontal,vertical,vertical,none,none
1c,7,100132,1,10,10,18,M,NA,variable,homogeneous,6,absent,1.5117130279541,0,vertical,horizontal,1,0.811759829521179,red,3,NaN,1027.20666366803,484.232422566416,NaN,NaN,786.654331158049,854.650531362416,1013.86099482608,738.882953928832,1027.20666366803,484.232422566416,813.345668841951,345.349468637584,586.139005173917,461.117046071168,572.793336331966,715.767577433584,0,0,4,0,0,0,vertical,vertical,vertical,vertical,horizontal,vertical
1c,7,100132,1,11,11,18,M,NA,variable,homogeneous,6,absent,1.24704504013062,1,vertical,vertical,1,0.635293304920197,green,5,NaN,591.116228706307,453.738008730483,NaN,NaN,777.775285599347,854.029648013395,1008.88377129369,746.261991269517,1031.10848569435,492.232343256122,822.224714400653,345.970351986605,591.116228706307,453.738008730483,568.891514305654,707.767656743878,0,0,0,0,4,0,vertical,vertical,horizontal,vertical,vertical,horizontal
