Name,Coef.,Std. Error,z,Pr(>|z|),n_subj,n_present,n_absent,beta_0,beta_1,tau_0,tau_1,rho,sigma
(Intercept),628.515790056366,10.22567017282535,61.46450838270165,0.0,2,150,150,650,30,80,15,0.35,175
category: present,36.911681736602795,14.461281442768287,2.552448887927658,0.010696860311891487,2,150,150,650,30,80,15,0.35,175
(Intercept),669.5830222850248,9.910563315056034,67.56255936206982,0.0,2,150,150,650,30,80,15,0.35,175
category: present,51.55902159952244,14.015653051679264,3.6786742229856335,0.00023444951106843393,2,150,150,650,30,80,15,0.35,175
(Intercept),690.7004292004933,39.19432423717595,17.62246046189927,1.656413768879203e-69,2,150,150,650,30,80,15,0.35,175
category: present,23.400090647768906,25.114730154704265,0.9317277352225826,0.3514772491541569,2,150,150,650,30,80,15,0.35,175
(Intercept),690.3395788328846,25.87564346769159,26.67912702131813,8.222525509254057e-157,2,150,150,650,30,80,15,0.35,175
category: present,22.489720179411837,14.31259389512644,1.5713238525596522,0.11610744346104686,2,150,150,650,30,80,15,0.35,175
(Intercept),742.593915207535,133.8650752383981,5.547331250403152,2.900628865513576e-8,2,150,150,650,30,80,15,0.35,175
category: present,14.164991986070783,15.288040944367468,0.9265406887394263,0.35416506190464986,2,150,150,650,30,80,15,0.35,175
(Intercept),779.3828020940988,11.215903601389135,69.48907816910705,0.0,2,150,150,650,30,80,15,0.35,175
category: present,2.1367253599573224,15.667211565819807,0.13638198162964013,0.8915193171576562,2,150,150,650,30,80,15,0.35,175
(Intercept),676.0157106298536,18.310224088235962,36.92012218813768,2.197600675584318e-298,2,150,150,650,30,80,15,0.35,175
category: present,10.114822774542786,13.916634430800796,0.7268152961003486,0.46733911150620155,2,150,150,650,30,80,15,0.35,175
(Intercept),662.0226044558276,69.58499287181823,9.513870407019116,1.83697725942127e-21,2,150,150,650,30,80,15,0.35,175
category: present,38.60949930215338,15.175303970041359,2.544232351350268,0.010951820702800376,2,150,150,650,30,80,15,0.35,175
(Intercept),709.3272713123135,34.130868697032824,20.78257303113938,6.223234944104732e-96,2,150,150,650,30,80,15,0.35,175
category: present,16.991572751148777,25.651926860864183,0.6623897239108357,0.5077214877296137,2,150,150,650,30,80,15,0.35,175
(Intercept),539.192350310182,14.519157782506445,37.136613458380715,7.210584372129042e-302,2,150,150,650,30,80,15,0.35,175
category: present,28.23211435666837,19.08365922130129,1.479386842391082,0.13903695466932242,2,150,150,650,30,80,15,0.35,175
(Intercept),565.8987219430451,21.421051608919015,26.417877715556394,8.539587800878935e-154,2,150,150,650,30,80,15,0.35,175
category: present,40.10997848143358,18.032750801786765,2.224285075655751,0.026129270185039178,2,150,150,650,30,80,15,0.35,175
(Intercept),608.6829808341064,31.27673105960796,19.46120838760494,2.341974079847849e-84,2,150,150,650,30,80,15,0.35,175
category: present,37.37802800848258,25.92396447278169,1.4418330208609427,0.14934948505506307,2,150,150,650,30,80,15,0.35,175
