i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
Intercept,542.466,9.85,55.075,0.0,523.161,561.771,650,30,150,150,2,0.35,175,80,15
category[T.present],-16.722,23.929,-0.699,0.485,-63.622,30.178,650,30,150,150,2,0.35,175,80,15
Group Var,0.06,1.348,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-0.587,7.899,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,757.239,9.37,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,614.655,85.852,7.159,0.0,446.388,782.923,650,30,150,150,2,0.35,175,80,15
category[T.present],33.402,83.229,0.401,0.688,-129.725,196.529,650,30,150,150,2,0.35,175,80,15
Group Var,14537.74,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,15.479,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,13447.325,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,655.896,58.541,11.204,0.0,541.158,770.634,650,30,150,150,2,0.35,175,80,15
category[T.present],35.943,15.383,2.337,0.019,5.793,66.092,650,30,150,150,2,0.35,175,80,15
Group Var,6663.403,514.73,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,782.762,453.291,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,91.955,113.595,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,575.381,27.225,21.134,0.0,522.021,628.741,650,30,150,150,2,0.35,175,80,15
category[T.present],10.053,16.364,0.614,0.539,-22.019,42.125,650,30,150,150,2,0.35,175,80,15
Group Var,1291.398,8.731,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-393.975,6.659,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,153.562,3.7,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,625.259,9.884,63.26,0.0,605.886,644.631,650,30,150,150,2,0.35,175,80,15
category[T.present],24.78,17.818,1.391,0.164,-10.143,59.704,650,30,150,150,2,0.35,175,80,15
Group Var,0.117,1.637,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-1.466,6.624,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,244.441,21.28,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,586.912,43.031,13.639,0.0,502.574,671.251,650,30,150,150,2,0.35,175,80,15
category[T.present],7.17,30.324,0.236,0.813,-52.264,66.604,650,30,150,150,2,0.35,175,80,15
Group Var,3485.758,19.231,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,-2207.726,14.153,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1404.009,11.789,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,664.665,14.973,44.389,0.0,635.317,694.012,650,30,150,150,2,0.35,175,80,15
category[T.present],31.417,27.792,1.13,0.258,-23.055,85.889,650,30,150,150,2,0.35,175,80,15
Group Var,267.62,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,562.253,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1183.25,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,629.819,41.678,15.111,0.0,548.131,711.507,650,30,150,150,2,0.35,175,80,15
category[T.present],16.553,28.072,0.59,0.555,-38.467,71.574,650,30,150,150,2,0.35,175,80,15
Group Var,3271.427,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1956.898,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1170.591,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,621.209,15.589,39.848,0.0,590.654,651.763,650,30,150,150,2,0.35,175,80,15
category[T.present],45.798,29.416,1.557,0.119,-11.856,103.452,650,30,150,150,2,0.35,175,80,15
Group Var,295.711,,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,631.57,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,1349.891,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,573.101,74.626,7.68,0.0,426.838,719.365,650,30,150,150,2,0.35,175,80,15
category[T.present],40.654,155.652,0.261,0.794,-264.418,345.726,650,30,150,150,2,0.35,175,80,15
Group Var,10929.276,95.002,,,,,650,30,150,150,2,0.35,175,80,15
Group x category[T.present] Cov,1812.63,,,,,,650,30,150,150,2,0.35,175,80,15
category[T.present] Var,48037.603,,,,,,650,30,150,150,2,0.35,175,80,15
Intercept,579.854,142.583,4.067,0.0,300.397,859.312,650,30,150,150,2,0.35,175,80,15
category[T.present],20.7,84.567,0.245,0.807,-145.049,186.448,650,30,150,150,2,0.35,175,80,15
